brain_region,measurement,standard_deviation,measurement_type,measurement_unit,cell_type,source_title,comment,specimen_age,Unnamed: 0,,,,
Lateral vestibular nucleus,14.067014342989486,8.152096178764964,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Medial vestibular nucleus,19.91428062964102,4.533113776600868,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Spinal vestibular nucleus,8.380557928813833,8.043374511532818,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Superior vestibular nucleus,4.452672224799374,4.6708777873759,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Nucleus x,11.99293506572203,20.258894657973933,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Hypoglossal nucleus,424.47735467850725,122.02001008776047,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Nucleus y,21.636385629806025,35.85444118994532,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Medulla, behavioral state related",522.1518966773306,259.9380034579347,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Nucleus raphe magnus,4.691796419445455,6.5273374911795345,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Nucleus raphe pallidus,36.02709464696578,37.54451114155241,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
Nucleus raphe obscurus,2146.389158626362,1059.8475372567336,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Visceral area, layer 6b",689.2365303732986,53.13023612202708,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, layer 6a",955.3223754829884,114.64094610276445,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Retrosplenial area, lateral agranular part, layer 6a",950.8132776734021,109.70771477966392,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Agranular insular area, dorsal part, layer 6a",774.5851921236174,61.471536394370574,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Posterolateral visual area, layer 6b",820.4027130256211,104.77243088682775,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, upper limb, layer 6b",716.0201031189634,122.61793144579914,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Retrosplenial area, dorsal part, layer 6b",1165.7098195750525,127.38063753980276,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, layer 6b",955.3223754829884,114.64094610276445,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Secondary motor area, layer 6a",938.4144408261564,86.90000010831508,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Perirhinal area, layer 6b",951.0807547130507,98.57028071086592,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, lower limb, layer 6b",919.638374370501,111.55004002460097,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Anterior cingulate area, ventral part, layer 6b",909.0802354743294,94.98599072786419,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Infralimbic area, layer 6a",637.0641959644313,85.4401982108301,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Posterior auditory area, layer 6b",1081.257000004224,188.22102057505464,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Gustatory areas, layer 6a",897.8441404681832,108.55535406355382,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Posterolateral visual area, layer 6a",820.4027130256211,104.77243088682775,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Temporal association areas, layer 6b",926.0409462290347,74.42701550807715,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"posteromedial visual area, layer 6b",1142.675175252401,209.24255394714902,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Visceral area, layer 6a",689.2365303732986,53.13023612202708,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Secondary motor area, layer 6b",938.4144408261564,86.90000010831508,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 6b",1085.6367745175655,62.461604111321776,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Agranular insular area, posterior part, layer 6a",724.7482717540374,67.31439171183678,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, barrel field, layer 6b",513.7613736697992,56.72793303737628,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Retrosplenial area, lateral agranular part, layer 6b",950.8132776734021,109.70771477966392,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Dorsal auditory area, layer 6b",670.8814117444346,75.35588526349488,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Anterolateral visual area, layer 6b",866.2739486285034,109.63796285607899,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, mouth, layer 6a",848.5729665627691,128.68779189127906,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Anteromedial visual area, layer 6a",795.380666389982,81.8450026050727,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Agranular insular area, posterior part, layer 6b",724.7482717540374,67.31439171183678,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Supplemental somatosensory area, layer 6a",530.598222924441,48.605305766591144,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, upper limb, layer 6a",716.0201031189634,122.61793144579914,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Ventral auditory area, layer 6a",532.3161431932872,47.76229030145492,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Supplemental somatosensory area, layer 6b",530.598222924441,48.605305766591144,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Anteromedial visual area, layer 6b",795.380666389982,81.8450026050727,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Entorhinal area, lateral part, layer 6a",1085.6367745175655,62.461604111321776,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Anterior cingulate area, dorsal part, layer 6a",881.8721557743738,70.33282829613076,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Infralimbic area, layer 6b",637.0641959644313,85.4401982108301,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary visual area, layer 6a",806.5604250541984,70.96786443202679,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Ventral auditory area, layer 6b",532.3161431932872,47.76229030145492,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, trunk, layer 6b",822.3814872370027,101.13164932052216,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Primary somatosensory area, barrel field, layer 6a",513.7613736697992,56.72793303737628,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Dorsal peduncular area, layer 6a",818.2665475761737,219.6173711696959,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Gustatory areas, layer 6b",897.8441404681832,108.55535406355382,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Orbital area, medial part, layer 6a",663.784126452115,138.21847213036625,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Retrosplenial area, ventral part, layer 6b",888.8831267615484,129.68407907425515,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Temporal association areas, layer 6a",926.0409462290347,74.42701550807715,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
"Posterior parietal association areas, layer 6b",834.9677748438019,71.13040275430363,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old,,,,,
